id,title,genres,overview,cast,director
1029880,Nightwatch: Demons Are Forever,"[""Horror"", ""Thriller"", ""Mystery""]","Martin's daughter, Emma, takes up a night watch job to find out what happened to her parents almost thirty years ago. A meeting with Wörmer in his cell pulls the serial killer out of his coma and sets in motion a chain of fateful events.","[""Fanny Leander Bornedal"", ""Nikolaj Coster-Waldau"", ""Kim Bodnia"", ""Ulf Pilgaard"", ""Sonja Richter""]",Ole Bornedal
519182,Despicable Me 4,"[""Animation"", ""Family"", ""Comedy"", ""Science Fiction""]","Gru and Lucy and their girls—Margo, Edith and Agnes—welcome a new member to the Gru family, Gru Jr., who is intent on tormenting his dad. Gru also faces a new nemesis in Maxime Le Mal and his femme fatale girlfriend Valentina, forcing the family to go on the run.","[""Steve Carell"", ""Kristen Wiig"", ""Will Ferrell"", ""Sof\u00eda Vergara"", ""Miranda Cosgrove""]",Chris Renaud
539972,Kraven the Hunter,"[""Action"", ""Adventure"", ""Thriller""]","Kraven Kravinoff's complex relationship with his ruthless gangster father, Nikolai, starts him down a path of vengeance with brutal consequences, motivating him to become not only the greatest hunter in the world, but also one of its most feared.","[""Aaron Taylor-Johnson"", ""Ariana DeBose"", ""Fred Hechinger"", ""Alessandro Nivola"", ""Christopher Abbott""]",J.C. Chandor
1212855,Fight or Flight,"[""Action"", ""Comedy"", ""Thriller""]",A mercenary takes on the job of tracking down a target on a plane but must protect her when they're surrounded by people trying to kill both of them.,"[""Josh Hartnett"", ""Katee Sackhoff"", ""Marko Zaror"", ""Julian Kostov"", ""Charithra Chandran""]",James Madigan
1304594,Una pequeña confusión,"[""Comedy""]","Lola and Cuau, a progressive middle-class pair, and Iñigo and Majo, a young conservative, well-heeled duo, turn to artificial insemination as a last resort to have children. In a madcap twist based on actual events, a mix-up at the clinic results in each mom-to-be carrying the other one's baby.","[""Ana de la Reguera"", ""Juanpa Zurita"", ""Vico Escorcia"", ""Cristo Fern\u00e1ndez"", ""Diana Bovio""]",Ariel Winograd
533535,Deadpool & Wolverine,"[""Action"", ""Comedy"", ""Science Fiction""]","A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine.","[""Ryan Reynolds"", ""Hugh Jackman"", ""Emma Corrin"", ""Matthew Macfadyen"", ""Dafne Keen""]",Shawn Levy
927342,Amaran,"[""Action"", ""Drama"", ""Adventure"", ""War""]","A heroic true story of Major Mukund Varadarajan, an Indian Army officer who displayed extraordinary bravery during a counterterrorism mission in Kashmir’s Shopian district. The film captures his courage in protecting his nation and the devotion of his wife Indhu Rebecaa Varghese.","[""Sivakarthikeyan"", ""Sai Pallavi"", ""Rahul Bose"", ""Bhuvan Arora"", ""Lallu Prasath""]",Rajkumar Periasamy
1405338,Demon City,"[""Action"", ""Crime"", ""Fantasy"", ""Thriller""]","Framed for his family's murder and left for dead, an ex-hitman will stop at nothing to exact revenge on the masked ""demons"" who have taken over his city.","[""Toma Ikuta"", ""Masahiro Higashide"", ""Miou Tanaka"", ""Ami Touma"", ""Taro Suruga""]",Seiji Tanaka
558449,Gladiator II,"[""Action"", ""Adventure"", ""Drama""]","Years after witnessing the death of the revered hero Maximus at the hands of his uncle, Lucius is forced to enter the Colosseum after his home is conquered by the tyrannical Emperors who now lead Rome with an iron fist. With rage in his heart and the future of the Empire at stake, Lucius must look to his past to find strength and honor to return the glory of Rome to its people.","[""Paul Mescal"", ""Denzel Washington"", ""Pedro Pascal"", ""Connie Nielsen"", ""Joseph Quinn""]",Ridley Scott
1302916,Heart Eyes,"[""Horror"", ""Comedy"", ""Romance""]","When the ""Heart Eyes Killer"" strikes Seattle, a pair of co-workers pulling overtime on Valentine's Day are mistaken for a couple by the elusive couple-hunting killer. Now, they must spend the most romantic night of the year running for their lives.","[""Olivia Holt"", ""Mason Gooding"", ""Gigi Zumbado"", ""Michaela Watkins"", ""Devon Sawa""]",Josh Ruben
1388366,Popeye the Slayer Man,"[""Horror""]","A curious group of friends sneak into an abandoned spinach canning factory to film a documentary on the legend of the ""Sailor Man,"" who is said to haunt the factory and local docks.","[""Sarah Nicklin"", ""Scott Swope"", ""Angela Relucio"", ""Steven McCormack"", ""Mabel Thomas""]",Robert Michael Ryan
1084199,Companion,"[""Horror"", ""Science Fiction"", ""Thriller""]","During a weekend getaway at a secluded lakeside estate, a group of friends finds themselves entangled in a web of secrets, deception, and advanced technology. As tensions rise and loyalties are tested, they uncover unsettling truths about themselves and the world around them.","[""Sophie Thatcher"", ""Jack Quaid"", ""Lukas Gage"", ""Megan Suri"", ""Harvey Guill\u00e9n""]",Drew Hancock
1104845,Plankton: The Movie,"[""Animation"", ""Adventure"", ""Comedy"", ""Family"", ""Fantasy""]",Plankton's tangled love story with his sentient computer wife goes sideways when she takes a stand — and decides to destroy the world without him.,"[""Mr. Lawrence"", ""Jill Talley"", ""Tom Kenny"", ""Bill Fagerbakke"", ""Rodger Bumpass""]",Dave Needham
1241436,Warfare,"[""War"", ""Action""]","A platoon of Navy SEALs embarks on a dangerous mission in Ramadi, Iraq, with the chaos and brotherhood of war retold through their memories of the event.","[""D'Pharaoh Woon-A-Tai"", ""Cosmo Jarvis"", ""Will Poulter"", ""Charles Melton"", ""Joseph Quinn""]",Ray Mendoza
1184918,The Wild Robot,"[""Animation"", ""Science Fiction"", ""Family""]","After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.","[""Lupita Nyong'o"", ""Pedro Pascal"", ""Kit Connor"", ""Bill Nighy"", ""Stephanie Hsu""]",Chris Sanders
1249385,Ghost Game,"[""Horror"", ""Thriller""]","As part of an internet challenge to live undetected in a stranger’s home, a daring couple target an infamous haunted house and endure a series of chilling incidents as they witness a family descending into madness.","[""Kia Dorsey"", ""Zaen Haidar"", ""Aiden Hughes"", ""Vienna Maas"", ""Emily Bennett""]",Jill Gevargizian
1241436,Warfare,"[""War"", ""Action""]","A platoon of Navy SEALs embarks on a dangerous mission in Ramadi, Iraq, with the chaos and brotherhood of war retold through their memories of the event.","[""D'Pharaoh Woon-A-Tai"", ""Cosmo Jarvis"", ""Will Poulter"", ""Charles Melton"", ""Joseph Quinn""]",Ray Mendoza
299536,Avengers: Infinity War,"[""Adventure"", ""Action"", ""Science Fiction""]","As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.","[""Robert Downey Jr."", ""Chris Evans"", ""Chris Hemsworth"", ""Josh Brolin"", ""Mark Ruffalo""]",Anthony Russo
1217379,Hellhound,"[""Action"", ""Crime"", ""Thriller""]","Ready to leave his profession behind, Loreno, an assassin, lends help to an old friend, Cetan, and taking one last job in Thailand seeking out a local kingpin. A lapse in judgment means Loreno crosses paths with old colleague Paul.","[""Louis Mandylor"", ""Vithaya Pansringarm"", ""Van Quattro"", ""Panya Yimmumphai"", ""Winai Wiangyangkung""]",Joshua Dixon
933260,The Substance,"[""Horror"", ""Science Fiction""]","A fading celebrity decides to use a black market drug, a cell-replicating substance that temporarily creates a younger, better version of herself.","[""Demi Moore"", ""Margaret Qualley"", ""Dennis Quaid"", ""Edward Hamilton-Clark"", ""Gore Abrams""]",Coralie Fargeat
1077782,Old Guy,"[""Action"", ""Comedy""]","Stuck at a dead end but vying for the love of spunky club manager Anata, aging contract killer Danny Dolinski is thrilled when The Company pulls him back in the field, but only to train Gen Z newcomer Wihlborg, a prodigy assassin with an attitude.","[""Christoph Waltz"", ""Lucy Liu"", ""Cooper Hoffman"", ""Karishma Navekar"", ""Desmond Edwards""]",Simon West
1113583,"Oh, Canada","[""Drama""]","Famed Canadian-American leftist documentary filmmaker Leonard Fife was one of sixty thousand draft evaders and deserters who fled to Canada to avoid serving in Vietnam. Now in his late seventies, Fife is dying of cancer in Montreal and has agreed to a final interview in which he is determined to bare all his secrets at last, to demythologize his mythologized life.","[""Richard Gere"", ""Uma Thurman"", ""Jacob Elordi"", ""Michael Imperioli"", ""Victoria Hill""]",Paul Schrader
1022789,Inside Out 2,"[""Animation"", ""Adventure"", ""Comedy"", ""Family""]","Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone.","[""Amy Poehler"", ""Maya Hawke"", ""Kensington Tallman"", ""Liza Lapira"", ""Tony Hale""]",Kelsey Mann
1294203,My Fault: London,"[""Romance"", ""Drama""]","18-year-old Noah moves from America to London, with her mother who's recently fallen in love with William, a wealthy British businessman. Noah meets William’s son, bad-boy Nick, and soon discovers there is an attraction between them neither can avoid. As Noah spends the summer adjusting to her new life, her devastating past will catch up with her while falling in love for the first time.","[""Asha Banks"", ""Matthew Broome"", ""Eve Macklin"", ""Ray Fearon"", ""Enva Lewis""]",Dani Girdwood
1143407,Sky Force,"[""Action"", ""Thriller""]","In the 1965 Indo-Pak War, India faces a devastating surprise attack. Wing Commander Ahuja leads a retaliatory strike, but Squadron Leader Vijaya goes missing after a heroic solo engagement against a superior enemy jet. Ahuja spends 23 years seeking the truth and uncovering a cover-up.","[""Akshay Kumar"", ""Veer Pahariya"", ""Nimrat Kaur"", ""Sara Ali Khan"", ""Sharad Kelkar""]",Abhishek Kapur
1249289,Alarum,"[""Action"", ""Crime"", ""Thriller""]","Two married spies caught in the crosshairs of an international intelligence network will stop at nothing to obtain a critical asset. Joe and Lara are agents living off the grid whose quiet retreat at a winter resort is blown to shreds when members of the old guard suspect the two may have joined an elite team of rogue spies, known as Alarum.","[""Scott Eastwood"", ""Sylvester Stallone"", ""Willa Fitzgerald"", ""Mike Colter"", ""D.W. Moffett""]",Michael Polish
