id,title,genres,overview,cast,director
665,Ben-Hur,"[""History"", ""Drama"", ""Adventure"", ""Action""]","In 25 AD, Judah Ben-Hur, a Jew in ancient Judea, opposes the occupying Roman empire.  Falsely accused by a Roman childhood friend-turned-overlord of trying to kill the Roman governor, he is put into slavery and his mother and sister are taken away as prisoners.","[""Charlton Heston"", ""Stephen Boyd"", ""Hugh Griffith"", ""Jack Hawkins"", ""Haya Harareet""]",William Wyler
1149137,The Travelling Dog,"[""Family"", ""Adventure""]","The life of Zuzia, whose dad works on the railway, changes mas-sively when Lampo, an extraordinary travelling dog, joins the family. The remarkable shepherd dog, whose train trips are an internet sensation, immediately becomes the best friend of the girl suffering from a heart condition.","[""Liliana Zajbert"", ""Mateusz Dami\u0119cki"", ""Monika Piku\u0142a"", ""Adam Woronowicz"", ""Maksymilian Zieli\u0144ski""]",Magdalena Nieć
24428,The Avengers,"[""Science Fiction"", ""Action"", ""Adventure""]","When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!","[""Robert Downey Jr."", ""Chris Evans"", ""Mark Ruffalo"", ""Chris Hemsworth"", ""Scarlett Johansson""]",Joss Whedon
1457124,Titanic: The Digital Resurrection,"[""Documentary""]","Using cutting-edge scanning technology and state-of-the-art CGI, a team of experts creates the first high-resolution 3D digital twin of the Titanic wreck. Through a groundbreaking immersive investigation, they uncover the ship’s final moments, shedding light on the acts of heroism and cowardice aboard—and revealing the true story behind the sinking of the “unsinkable” ship.","[""Josh Goodman"", ""Parks Stephenson"", ""Jennifer Hooper"", ""Chris Hearn"", ""Yasmin Khan""]",Fergus Colville
1190462,Breathing In,"[""Horror"", ""Thriller"", ""Drama""]","1901, South Africa. As the Second Anglo-Boer War rages on, a wounded General seeks refuge in the small home of a woman and her young daughter. As the hurt man settles in, he begins noticing that something is off about the two women, particularly the daughter, and before long, he’ll learn the real reason for why they’ve invited him and for how they’ve survived on their own for so long.","[""Michele Burgers"", ""Sven Ruygrok"", ""Jamie-Lee Money"", ""Lionel Newton""]",Jaco Bouwer
1062276,Dark Match,"[""Action"", ""Horror""]","A small-time wrestling company accepts a well-paying gig in a backwoods town only to learn, too late, that the community is run by a mysterious cult leader with devious plans for their match.","[""Ayisha Issa"", ""Steven Ogg"", ""Mo Jabari"", ""Sara Canning"", ""Chris Irvine""]",Lowell Dean
1357633,Solo Leveling -ReAwakening-,"[""Action"", ""Adventure"", ""Fantasy"", ""Animation""]","Over a decade after 'gates' connecting worlds appeared, awakening 'hunters' with superpowers, weakest hunter Sung Jinwoo encounters a double dungeon and accepts a mysterious quest, becoming the only one able to level up, changing his fate. A catch-up recap of the first season coupled with an exclusive sneak peek of the first two episodes of the highly anticipated second season in one momentous theatrical fan experience.","[""Taito Ban"", ""Genta Nakamura"", ""Haruna Mikawa"", ""Reina Ueda"", ""Daisuke Hirakawa""]",Shunsuke Nakashige
1035048,Elevation,"[""Action"", ""Science Fiction"", ""Thriller""]",A single father and two women venture from the safety of their homes to face monstrous creatures to save the life of a young boy.,"[""Anthony Mackie"", ""Morena Baccarin"", ""Maddie Hasson"", ""Danny Boyd Jr."", ""Rachel Nicks""]",George Nolfi
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","[""Adventure"", ""Family"", ""Fantasy""]","Siblings Lucy, Edmund, Susan and Peter step through a magical wardrobe and find the land of Narnia. There, they discover a charming, once peaceful kingdom that has been plunged into eternal winter by the evil White Witch, Jadis. Aided by the wise and magnificent lion, Aslan, the children lead Narnia into a spectacular, climactic battle to be free of the Witch's glacial powers forever.","[""William Moseley"", ""Anna Popplewell"", ""Skandar Keynes"", ""Georgie Henley"", ""Liam Neeson""]",Andrew Adamson
680,Pulp Fiction,"[""Thriller"", ""Crime""]","A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.","[""John Travolta"", ""Samuel L. Jackson"", ""Uma Thurman"", ""Bruce Willis"", ""Ving Rhames""]",Quentin Tarantino
238,The Godfather,"[""Drama"", ""Crime""]","Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.","[""Marlon Brando"", ""Al Pacino"", ""James Caan"", ""Robert Duvall"", ""Richard S. Castellano""]",Francis Ford Coppola
573435,Bad Boys: Ride or Die,"[""Action"", ""Comedy"", ""Crime"", ""Thriller"", ""Adventure""]","After their late former Captain is framed, Lowrey and Burnett try to clear his name, only to end up on the run themselves.","[""Will Smith"", ""Martin Lawrence"", ""Vanessa Hudgens"", ""Alexander Ludwig"", ""Paola Nu\u00f1ez""]",Adil El Arbi
1147416,"Miraculous World: London, At the Edge of Time","[""Animation"", ""Adventure"", ""Action"", ""Fantasy""]","To save the future from a terrible fate, Marinette becomes Chronobug and teams up with Bunnyx to defeat a mysterious opponent who travels through time. Who is this new supervillain, and why are they obsessed with exposing Marinette's secret superhero identity? Marinette's only hope is to defeat her new opponent to prevent the end of Ladybug and time itself!","[""Annouck Hautbois"", ""Benjamin Bollen"", ""Marie Nonnenmacher"", ""Thierry Kazazian"", ""Adeline Chetail""]",Thomas Astruc
